0, James Peterson, +372 50384628, 8/02/2014, Tallinn, gerasimd@gmail.com
1, Arseny Savin, +372 59232313, 9/09/2002, Narva, joelmar@gmail.com
2, Gherardo Ludovici, +372 59382312, 24/12/2009, Parnu, andrewc@gmail.com
3, Alex Powell, +372 59591122, 5/10/2015, Narva, loken@gmail.com
4, Ethan Bailey, +372 50543571, 24/12/2004, Tartu, antonios@gmail.com
5, Chase Cook, +372 50673261, 15/11/2000, Parnu, garrycha@gmail.com
6, Jose Jenkins, +372 50553249, 15/09/2010, Rakvere, jesusg@gmail.com
7, Aidan Smith, +372 58302341, 23/10/2007, Rakvere, hunterc@gmail.com
8, Diego Green, +372 58603492, 24/12/2009, Tallinn, garrys@gmail.com
9, Thomas Thomas, +372 51939203, 4/12/2015, Narva, neoer@gmail.com
10, Andrew Cook, +372 50568930, 23/10/2011, Moskva, lovesund@gmail.com
11, Gabriel Nelson, +372 50583045, 23/10/2012, Tallinn, timothyh@gmail.com
12, Igor Vlassov, +372 50435849, 29/04/2002, Narva, thomas@gmail.com
13, Chimenti Marcello, +372 50443545, 5/07/2016, Parnu, denisrak@gmail.com
14, Mia Ranovich, +372 50545073, 31/01/2000, Tartu, ethantho@gmail.com
15, Gerasim Devin, +372 50353480, 14/03/2006, Tallinn, blakeb@gmail.com
16, Ryan Walker, +372 58923923, 12/01/2004, Moskva, joshuas@gmail.com
17, Alex Powell, +372 50322312, 1/02/2002, Moskva, daniela@gmail.com
18, Charles Gray, +372 54353459, 31/05/2015, Tallinn, charlesg@gmail.com
19, Jacob Jansson, +372 56765702, 13/04/2012, Moskva, robertk@gmail.com
20, Brian Roberts, +372 54303540, 4/12/2011, Moskva, mohammed@gmail.com
21, Jason Collins, +372 50583450, 10/03/2009, Narva, petercha@gmail.com
22, Aidan Smith, +372 50739273, 13/04/2018, Narva, timothym@gmail.com
23, Viktor Lipovkin, +372 50234810, 10/08/2012, Moskva, baldo@gmail.com
24, Gabriel Nelson, +372 50322312, 13/04/2015, Narva, daniela@gmail.com
25, Matvei Petrow, +372 50372942, 15/11/2000, Viljandi, brandons@gmail.com
26, Robert Turchin, +372 56923480, 2/04/2014, Rakvere, benci@gmail.com
27, Baldo Morino, +372 59320923, 12/08/2016, Tallinn, jackra@gmail.com
28, Sean Price, +372 50798112, 16/06/2017, Moskva, aaronhay@gmail.com
29, Love Lundstrom, +372 50532810, 4/12/1995, Rakvere, rogerfed@gmail.com
30, Gerasim Devin, +372 50543591, 10/03/2009, Moskva, adrianstr@gmail.com
31, Igor Krossberg, +372 53202129, 2/05/1997, Narva, yulian.sliv@gmail.com
32, Gherardo Ludovici, +372 50543571, 9/05/2016, Moskva, gherardo@gmail.com
33, Kevin Clark, +372 50234711, 15/07/2012, Viljandi, thomas@gmail.com
34, Igor Krossberg, +372 57824112, 13/04/2012, Tartu, vyachesla23@gmail.com
35, Toomas Landstop, +372 59232313, 23/10/2008, Rakvere, osakak@gmail.com
36, Kevin Clark, +372 50592309, 12/02/2015, Moskva, luishowa@gmail.com
37, Ali Bjorklund, +372 52523129, 13/04/2018, Viljandi, laco@gmail.com
38, Colin White, +372 50078312, 6/11/2003, Narva, chasec@gmail.com
39, Aron Magnusson, +372 56565032, 1/01/2013, Tallinn, jacobj@gmail.com
40, Maffeo Celestino, +372 50234711, 3/04/2005, Moskva, igor2@gmail.com
41, Igor Firework, +372 54034581, 3/05/2004, Moskva, mohammed@gmail.com
42, Kevin Wallin, +372 54034519, 12/01/2004, Rakvere, igorf@gmail.com
43, Melker Eriksson, +372 51939203, 26/07/2016, Tartu, robertk@gmail.com
44, Robert Karpin, +372 50643592, 14/03/2006, Tallinn, vasya1@gmail.com
45, Alex Watson, +372 58903425, 26/07/2016, Rakvere, theodorj@gmail.com
46, Matthew Long, +372 53049304, 25/09/2004, Narva, matveig@gmail.com
47, Jack Ramirez, +372 55324324, 16/06/2003, Viljandi, gabrieln@gmail.com
48, Ugolino Chiesa, +372 50384729, 9/07/2011, Tartu, pavelp@gmail.com
49, Ryan Walker, +372 54034519, 12/11/2006, Narva, joelmar@gmail.com
50, Theodor Goransson, +372 50435435, 4/01/2000, Rakvere, svante@gmail.com
51, Tatyana Roosileht, +372 50234810, 4/12/2020, Viljandi, valerym@gmail.com
52, Eldar CowellMan, +372 54304582, 26/03/2002, Tartu, kyleross@gmail.com
53, Daniel Axelsson, +372 54321230, 5/10/2015, Moskva, antonios@gmail.com
54, Aaron Roberts, +372 56255123, 1/12/2013, Narva, germank@gmail.com
55, Jesus Robinson, +372 56923480, 19/12/2016, Tallinn, arkadyab@gmail.com
56, William Alexander, +372 50684039, 21/06/2006, Parnu, joshuas@gmail.com
57, Alex Watson, +372 54345340, 4/12/2013, Rakvere, matveip@gmail.com
58, Jacob Griffin, +372 50231231, 10/05/2003, Narva, carters@gmail.com
59, Brian Roberts, +372 58603492, 13/04/2010, Moskva, jacobm@gmail.com
60, Vidar Hermansson, +372 53202129, 16/06/2014, Tartu, lukesand@gmail.com
61, Vladimir Antonov, +372 59039248, 3/11/2014, Moskva, timothym@gmail.com
62, Colin Perez, +372 50435348, 5/07/2016, Moskva, brainr@gmail.com
63, Elliot Lindstrom, +372 51424069, 13/04/2016, Rakvere, igorf@gmail.com
64, Theo Holm, +372 50102038, 19/11/2010, Tallinn, matthew@gmail.com
65, Jose Thompson, +372 58923923, 26/03/2002, Narva, elissvens@gmail.com
66, Xavier Wright, +372 54304534, 23/10/2008, Parnu, theoelias@gmail.com
67, Charles Gray, +372 55324324, 8/02/2014, Parnu, alex.aller@gmail.com
68, Kyle Ross, +372 50654849, 10/02/2012, Tartu, ignatr@gmail.com
69, Richard Campbell, +372 50342810, 4/12/2014, Narva, lukediaz@gmail.com
70, Baldo Morino, +372 59321237, 13/04/2011, Tallinn, jose@gmail.com
